replicon_primary,n_PSC,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
repUS27,28,0.0000,0.0000,0.0851,0.4800,0.3000,0.6278,0.2900,0.0000,0.0000,0.0000
rep4a,27,0.0000,0.0000,0.0700,0.5200,0.3000,0.5092,0.0000,0.0000,0.0000,0.0000
IncX8,27,0.0000,0.0000,0.4200,0.7600,0.3000,0.6599,0.3300,0.0000,0.0000,0.0000
rep20/rep22/repUS22,27,0.6913,0.0000,0.0827,0.4800,0.3000,0.6312,0.4800,0.0000,0.0000,0.0000
IncFIA(HI1)/IncFIB(pB171),27,0.0000,0.0000,0.1088,0.7600,0.9000,0.6575,0.2900,0.0000,0.0000,0.0000
IncFIA/IncFII(pCoo),27,0.0000,0.0000,0.4200,0.7600,0.9000,0.6596,0.2900,0.0000,0.0000,0.0000
Col(MG828)/Col8282,26,0.0000,0.0000,0.0700,0.7200,0.5000,0.5387,0.0000,0.1138,0.0000,0.0000
Col(SD853),26,0.0000,0.0000,0.4200,0.4800,0.3000,0.5945,0.0000,0.0000,0.0000,0.0000
rep19,26,0.0000,0.0000,0.0882,0.8000,0.3000,0.6403,0.0000,0.0000,0.0000,0.0000
rep11c,26,0.0000,0.0000,0.0700,0.8000,0.3000,0.5429,0.0000,0.2277,0.0833,0.1402
IncFIA/IncFII,26,0.0000,0.0000,0.4360,0.7800,0.9000,0.6736,0.1450,0.2277,0.0833,0.3079
Col156/IncFIB(AP001918),24,0.0000,0.4800,0.1232,0.7800,0.9000,0.6649,0.0000,0.2277,0.0833,0.1821
rep22/repUS18,24,0.6913,0.0000,0.4200,0.8000,0.3000,0.6071,0.0000,0.0000,0.0000,0.0000
pSM22,24,0.0000,0.0000,0.5950,0.7200,0.3000,0.6461,0.0000,0.0000,0.0000,0.1402
IncFIB(pB171)/IncFII(Yp),23,0.0000,0.0000,0.2342,0.7600,0.9000,0.6366,0.3300,0.4553,0.3333,0.5020
rep9b/repUS43,23,0.4362,0.0000,0.4333,0.4800,0.3000,0.6601,0.0000,0.2277,0.0833,0.3315
IncX1/IncX9,22,0.0000,0.0000,0.4200,0.7200,0.9000,0.7011,0.3300,0.0000,0.0000,0.0000
Col440II/ColRNAI,22,0.0000,0.0000,0.4200,0.8000,0.9000,0.5863,0.0000,0.0000,0.0000,0.0000
repUS16,22,0.6913,0.0000,0.4200,0.8000,0.3000,0.5471,0.0000,0.0000,0.0000,0.0000
IncL/M,22,0.0000,0.0000,0.1420,0.8000,0.9000,0.6657,0.0000,0.1138,0.0417,0.0000
IncFIA/IncFII(pAMA1167-NDM-5),21,0.0000,0.0000,0.0832,0.7600,0.9000,0.6795,0.2900,0.2277,0.0000,0.0000
repUS52,21,0.0000,0.0000,0.0700,0.7600,0.3000,0.5375,0.0000,0.0000,0.0000,0.0000
IncFIB(AP001918)/IncFII(29),21,0.0000,0.0000,0.4373,0.7600,0.9000,0.6452,0.2900,0.3608,0.1667,0.1995
